title,group,product,random_key,image_url,brand,persian_name,رنگ,برند,نوع کلی,جنس,مدل,سایز,نوع آستین,طرح,ویژگی ها,استایل,نوع یقه / بسته شدن,فصل,اجناس,مدل لباس,گروه,کد محصول,کد,Raqm,ناشن,درجه کیفی,ناهمگونی,پارچه,کشور تولید کننده,اسایل,group_fa,color_fa,title_len,word_count,title_category,char_per_word,title_group_combo,len_ratio,pca1,pca2
پیژامه و لباس خواب مردانه قرمز یو اس پولو | USP18777 اورجینال,مردانه,پیژامه و لباس خواب,052483d5-89f3-4b23-9cfb-4db723ec186b,https://image.torob.com/base/images/NR/ft/NRftNu9DZYv2eDok.jpg,,,قرمز,یو اس پولو,پیژامه و لباس خواب مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺰﻣﺮﻗ,61,12,Long,4.6923076923076925,مردانه_Long,10.716216216216216,1.833140418859391,0.6800394305430028
ست دورس و شلواربگ مدل بالنسیاگا کدSE15,نامشخص,ست دورس شلوار,b6eba1ca-7c0e-418d-9a64-de48f6e5e252,https://image.torob.com/base/images/gf/AJ/gfAJT4oLHy8q1Psy.webp,,,نامشخص,نامشخص,ست دورس و شلواربگ,دورس,بالنسیاگا,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,38,7,Medium,4.75,نامشخص_Medium,6.608695652173913,-1.1301246711359876,1.6181532179937845
ست تیشرت شلوارک مردانه شاهان(سایزLو xl و xxl)جنس بیسکوییتی - تیشرت شلوارک مردانه - ست مردانه - ست - تیشرت و شلوارک,مردانه,ست تیشرت شلوارک,dbb77107-2cdf-473a-a562-121526d40692,https://image.torob.com/base/images/Hx/40/Hx40Dei_iXqJbZux.jpg,,,نامشخص,شاهان,ست تیشرت شلوارک مردانه,بیسکوییتی,,L,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,114,22,,4.956521739130435,,19.138686131386862,-1.345504058672466,-0.42266200036659995
ست پیژامه آستین بلند مردانه | DoReMi EC002-000820,مردانه,ست پیژامه,b2334074-5d1e-4f2d-8ef9-cba4b07243fb,https://image.torob.com/base/images/ok/dd/okddliIfvq9uiJ-W.jpg,,,نامشخص,DoReMi,ست پیژامه,,,نامشخص,آستین بلند,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,49,8,Medium,5.444444444444445,مردانه_Medium,7.6034482758620685,0.6957944301094899,-0.02376708950372595
ست تیشرت و شلوارک مردانه مدل A65,مردانه,ست تیشرت و شلوارک,a16360c5-1b38-4ea2-b688-579e40c33a6e,https://image.torob.com/base/images/tt/7C/tt7CXKLu44iXshZW.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوارک مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,32,7,Medium,4.0,مردانه_Medium,6.4,-1.1820451056235968,-0.566584205963081
دورس کاربنی ورناپ,نامشخص,دورس,eab51917-1d2c-460c-ae61-7d8d5d8c667c,https://image.torob.com/base/images/ek/y6/eky6tMkWW60emC1F.jpg,,,کاربنی,ورناپ,,,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﯽﻨﺑﺭﺎﮐ,17,3,Short,4.25,نامشخص_Short,3.238095238095238,-2.444482364200722,1.0881214735441627
تاپ شلوارک مردونه,مردانه,تاپ شلوارک,e820899b-c09e-4d0f-a003-840f09fb435f,https://image.torob.com/base/images/HV/j4/HVj4zF-VoYyXzioS.jpg,,,نامشخص,نامشخص,تاپ شلوارک,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,17,3,Short,4.25,مردانه_Short,3.238095238095238,-1.8598987180681275,-1.1401826794647727
ست قلم (پس کرایه),نامشخص,ست قلم,60663d5c-ef79-4f7f-ac79-c7deaf1acb33,https://image.torob.com/base/images/06/9N/069NPaYY0bpKsEu0.jpg,,,نامشخص,نامشخص,,,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,17,4,Short,3.4,نامشخص_Short,3.8636363636363633,-2.1937216035071865,1.9533338693577305
ست تاپ و شلوارک مردانه طرح کوهستان مدل A102,مردانه,ست تاپ و شلوارک,48d134c3-8ff3-4053-9df9-f956f79d463e,https://image.torob.com/base/images/19/6h/196hQ8kY7F_QgjnQ.jpg,,,نامشخص,نامشخص,ست تاپ و شلوارک مردانه,,,نامشخص,,کوهستان,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,43,9,Medium,4.3,مردانه_Medium,8.11320754716981,-1.0918267749250425,-0.9344322837407507
ست تاپ و شلوارک مردانه مدل NBA-32 کد 103,مردانه,ست تاپ و شلوارک,ae894d1e-7f7f-49cb-92aa-edc75c35608d,https://image.torob.com/base/images/xs/fv/xsfviUaRQ9a-ypVO.jpg,,,نامشخص,نامشخص,ست تاپ و شلوارک مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,40,9,Medium,4.0,مردانه_Medium,8.0,-1.3394804698843006,-0.9208306969874771
ست تاپ و شلوارک مردانه مدل گلادیاتور کد Ba102 T,مردانه,ست تاپ و شلوارک,fd2bb01f-1f6d-4526-9e9e-f9088e59c7db,https://image.torob.com/base/images/Fz/F5/FzF5d0SLWt8ScJ-8.jpg,,,نامشخص,نامشخص,ست تاپ و شلوارک مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,47,10,Medium,4.2727272727272725,مردانه_Medium,8.913793103448276,0.20697051899763624,-0.61631156683823
ست تیشرت و شلوار مام استایل مردانه (ارسال رایگان) تنخور عالی و جذاب,مردانه,ست تیشرت و شلوار,836f0fd0-8d44-4af8-a82e-a8fb2a68d604,https://image.torob.com/base/images/KD/An/KDAnIovwXsv15FGo.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوار مام استایل,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,67,13,Long,4.785714285714286,مردانه_Long,11.580246913580247,1.098189253222601,-0.4943536836327956
ست مردانه مدمکست کد 6398 - 20600 | Madmext,مردانه,ست,3422cdd1-3d5b-451f-b2df-2715c1fb017a,https://image.torob.com/base/images/QO/Rp/QORpNCi-B-pQTrHZ.jpg,,,نامشخص,مدمکست,ست مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,42,9,Medium,4.2,مردانه_Medium,8.076923076923077,-1.309349505546171,-1.0766415478169933
ست مردانه خارجی تیشرت و شلوارک,مردانه,ست تیشرت و شلوارک,2f6b70f6-ec2a-455e-a0a0-87793f056c1c,https://image.torob.com/base/images/Ci/4d/Ci4dn3iyzZed2epS.jpg,,,نامشخص,نامشخص,ست مردانه خارجی تیشرت و شلوارک,,,نامشخص,,,خارجی,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,30,6,Short,4.285714285714286,مردانه_Short,5.675675675675675,-1.0127665089352238,-0.5546093630789112
پیژامه و لباس خواب مردانه آبی سرمه ای پیرکاردین | P19706S7247 اورجینال,مردانه,پیژامه و لباس خواب,680e4291-b635-439c-9c2d-9d02de306bc9,https://image.torob.com/base/images/Kj/Ny/KjNyIi0yASPYaqpv.jpg,,,آبی,پیرکاردین,پیژامه و لباس خواب مردانه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯽﺑﺁ,70,12,Long,5.384615384615385,مردانه_Long,10.963855421686747,2.6045204471269066,0.6364320585741345
ست بالا و پایین ورزشی چند رنگ مردانه زنانه لباس جیووان جنتیله اورجینال Giovane Gentile,مردانه زنانه,ست ورزشی,0809684e-1fcf-43a2-81c4-5f89d01926be,https://image.torob.com/base/images/VX/Tl/VXTl3eqqYK1LXDhM.jpg,,,نامشخص,جیووان جنتیله,ست بالا و پایین ورزشی,,,نامشخص,,چند رنگ,,ورزشی,,,,,,,,,,,,,,,ﻪﻧﺎﻧﺯ ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,86,15,Long,5.375,مردانه زنانه_Long,13.490196078431373,2.1706119605384964,0.8212991989202588
ست تیشرت و شلوار مردانه پارچه پنبه,مردانه,ست تیشرت و شلوار,44ee94cc-9ede-411f-bd04-74198ccb2f6e,https://image.torob.com/base/images/oi/wv/oiwvy8-sLBPVG1ij.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوار,پنبه,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,34,7,Medium,4.25,مردانه_Medium,6.476190476190476,-1.0714013759751309,-0.6598069682079222
ست پیژامه مردانه ال سی وایکیکی کد W4L941Z8 - GK0 | LC WAIKIKI,مردانه,ست پیژامه,94b0b783-2713-4af3-b590-22c4df0ab938,https://image.torob.com/base/images/5I/Bp/5IBpw_mDv-fuCsdw.jpg,,,نامشخص,ال سی وایکیکی,ست پیژامه,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,61,13,Long,4.357142857142857,مردانه_Long,11.386666666666667,1.2075582106620937,0.24807595109384778
