DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEP_TIME,DEP_DEL15,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21,ARR_DELAY,IS_DELAYED,DELAY_CATEGORY
9,3,19805,1226,13303,1330303,11298,1129806,542.0,0.0,758.0,0.0,0.0,0.0,1121.0,0.0,-13.145694651868688,0.0,0
7,1,19930,1221,10423,1042302,14771,1477104,2111.0,1.0,2328.0,1.0,0.0,0.0,1504.0,0.0,114.87428786663128,1.0,3
6,7,19805,2079,11057,1105703,14027,1402702,2213.0,0.0,2348.0,0.0,0.0,0.0,590.0,0.0,2.939727381513229,0.0,1
25,5,20378,6014,12264,1226402,10792,1079206,1242.0,0.0,1354.0,0.0,0.0,0.0,283.0,0.0,-3.060368211133353,0.0,0
22,2,19805,2548,14771,1477104,13303,1330303,2143.0,0.0,556.0,0.0,0.0,0.0,2585.0,0.0,-22.979161180090358,0.0,0
6,7,20397,5150,11057,1105703,14524,1452401,1438.0,1.0,1549.0,1.0,0.0,0.0,257.0,0.0,32.223430114965076,1.0,2
3,4,19977,750,12892,1289208,11292,1129202,1748.0,0.0,2105.0,0.0,0.0,0.0,862.0,0.0,-27.386237452431025,0.0,0
1,2,19393,2078,14679,1467903,14683,1468305,1040.0,0.0,1510.0,0.0,0.0,0.0,1129.0,0.0,8.977926559872083,0.0,1
14,1,20363,5238,13930,1393007,11193,1119302,806.0,0.0,1019.0,0.0,0.0,0.0,264.0,0.0,-2.949824471555604,0.0,0
26,6,19690,334,12982,1298202,12173,1217305,1613.0,0.0,1651.0,0.0,0.0,0.0,102.0,0.0,1.863266000822047,0.0,1
31,4,20398,3995,13930,1393007,11066,1106606,1153.0,0.0,1406.0,0.0,0.0,0.0,296.0,0.0,-29.07369775668889,0.0,0
8,2,20409,2660,14100,1410005,10721,1072102,1455.0,0.0,1621.0,0.0,0.0,0.0,280.0,0.0,13.645943347289744,0.0,1
24,4,19790,1319,10397,1039707,15370,1537002,2133.0,0.0,2240.0,0.0,0.0,0.0,674.0,0.0,7.4599188360189785,0.0,1
24,4,20452,5912,11193,1119302,13198,1319801,1518.0,0.0,1605.0,0.0,0.0,0.0,539.0,0.0,-20.444740019477575,0.0,0
26,6,20378,6369,12266,1226603,11540,1154005,1851.0,0.0,1942.0,0.0,0.0,0.0,667.0,0.0,-21.81787647568047,0.0,0
22,2,19393,3190,11066,1106606,15304,1530402,551.0,0.0,803.0,0.0,0.0,0.0,829.0,0.0,-21.74679705659548,0.0,0
26,6,19393,2494,10693,1069302,10821,1082106,649.0,0.0,917.0,0.0,0.0,0.0,587.0,0.0,-16.309099066820803,0.0,0
9,3,20363,3397,12478,1247805,15096,1509602,2057.0,0.0,2214.0,0.0,0.0,0.0,209.0,0.0,-6.385960576549297,0.0,0
27,7,20452,4578,12339,1233904,11278,1127805,1925.0,0.0,2102.0,0.0,0.0,0.0,500.0,0.0,-10.56247416110479,0.0,0
2,3,19790,2314,14869,1486903,14107,1410702,2042.0,0.0,2216.0,0.0,0.0,0.0,507.0,0.0,-16.894688691088113,0.0,0
22,2,20363,5136,10792,1079206,12478,1247805,1835.0,0.0,2005.0,0.0,0.0,0.0,301.0,0.0,-2.4666197374929237,0.0,0
7,1,19393,511,14679,1467903,14893,1489302,1719.0,0.0,1845.0,0.0,0.0,0.0,480.0,0.0,-23.722776270658116,0.0,0
7,1,19977,2052,14771,1477104,11603,1160302,2049.0,0.0,2210.0,0.0,0.0,0.0,451.0,0.0,-16.853490815915183,0.0,0
1,2,20397,5534,14685,1468502,11057,1105703,925.0,0.0,1058.0,0.0,0.0,0.0,213.0,0.0,-13.513717051783873,0.0,0
19,6,19393,2370,11292,1129202,14107,1410702,822.0,0.0,1010.0,0.0,0.0,0.0,602.0,0.0,-9.476850710233384,0.0,0
23,3,19805,2169,11278,1127805,10721,1072102,823.0,0.0,951.0,0.0,0.0,0.0,399.0,0.0,5.332918262685612,0.0,1
9,3,20397,5552,11267,1126702,11057,1105703,513.0,0.0,634.0,0.0,0.0,0.0,370.0,0.0,-21.01467980287381,0.0,0
3,4,19393,2033,14831,1483106,12889,1288903,1529.0,0.0,1650.0,0.0,0.0,0.0,386.0,0.0,-6.859450271387478,0.0,0
25,5,20304,5361,15919,1591904,13930,1393007,1848.0,1.0,2116.0,1.0,0.0,0.0,522.0,0.0,77.61111516165242,1.0,3
9,3,19393,346,10693,1069302,10423,1042302,808.0,0.0,1014.0,0.0,0.0,0.0,756.0,0.0,-27.909731427600104,0.0,0
2,3,19393,416,11292,1129202,14107,1410702,1444.0,1.0,1619.0,0.0,0.0,0.0,602.0,0.0,-2.660481664435274,0.0,0
29,2,19393,162,12889,1288903,15376,1537604,1111.0,0.0,1320.0,0.0,0.0,0.0,365.0,0.0,-22.326414434071882,0.0,0
30,3,19393,1044,11259,1125904,13204,1320402,601.0,0.0,916.0,0.0,0.0,0.0,973.0,0.0,-27.072678315662422,0.0,0
14,1,20304,3516,11641,1164102,10397,1039707,1548.0,0.0,1719.0,0.0,0.0,0.0,331.0,0.0,12.699849176399995,0.0,1
13,7,19930,157,10299,1029906,13970,1397005,555.0,0.0,741.0,0.0,0.0,0.0,548.0,0.0,13.453441488355171,0.0,1
29,2,19805,2361,12892,1289208,13204,1320402,702.0,0.0,1426.0,0.0,0.0,0.0,2218.0,0.0,6.377880665240751,0.0,1
3,4,19393,1055,14100,1410005,15016,1501606,1119.0,0.0,1304.0,0.0,0.0,0.0,814.0,0.0,-16.292380387198317,0.0,0
28,1,19393,1780,10821,1082106,13204,1320402,1115.0,0.0,1335.0,0.0,0.0,0.0,787.0,0.0,-25.604754869712725,0.0,0
30,3,20368,901,10408,1040805,14112,1411206,1537.0,0.0,1922.0,0.0,0.0,0.0,1173.0,0.0,0.7904861930470602,0.0,1
15,2,19977,1151,13930,1393007,11433,1143302,2112.0,0.0,2320.0,0.0,0.0,0.0,235.0,0.0,-10.193137781717942,0.0,0
18,5,19805,2063,12889,1288903,14107,1410702,1642.0,0.0,1851.0,0.0,0.0,0.0,255.0,0.0,-24.508279431984953,0.0,0
13,7,19393,3235,14679,1467903,14107,1410702,1247.0,0.0,1451.0,0.0,0.0,0.0,304.0,0.0,-7.717039044992841,0.0,0
27,7,20378,5837,14107,1410702,13476,1347605,2105.0,0.0,2152.0,0.0,0.0,0.0,598.0,0.0,-28.452516549815172,0.0,0
4,5,20304,4670,12266,1226603,13487,1348702,1419.0,0.0,1701.0,0.0,0.0,0.0,1034.0,0.0,10.919418093545193,0.0,1
24,4,19393,707,11278,1127805,15016,1501606,836.0,0.0,1005.0,0.0,0.0,0.0,719.0,0.0,-18.354900827999238,0.0,0
27,7,19393,4017,13796,1379608,14908,1490803,707.0,0.0,824.0,0.0,0.0,0.0,371.0,0.0,-0.18649720407081127,0.0,0
22,2,20378,6167,12264,1226402,11066,1106606,1230.0,0.0,1339.0,0.0,0.0,0.0,299.0,0.0,-15.973001575976507,0.0,0
21,1,19790,1281,11433,1143302,10693,1069302,1537.0,0.0,1606.0,0.0,0.0,0.0,456.0,0.0,-6.596939046998513,0.0,0
16,3,19790,2618,10792,1079206,11433,1143302,601.0,0.0,721.0,0.0,0.0,0.0,241.0,0.0,-5.398037429552415,0.0,0
1,2,20304,3574,13487,1348702,11823,1182304,1746.0,0.0,2018.0,0.0,0.0,0.0,488.0,0.0,-21.681549501351284,0.0,0
1,2,19977,751,11618,1161802,12892,1289208,1552.0,0.0,1854.0,0.0,0.0,0.0,2454.0,0.0,13.631308249405135,0.0,1
22,2,19805,65,12889,1288903,12478,1247805,2229.0,0.0,635.0,0.0,0.0,0.0,2248.0,0.0,4.880977051250155,0.0,1
19,6,19805,858,14307,1430705,14100,1410005,1411.0,0.0,1527.0,0.0,0.0,0.0,237.0,0.0,12.27745237038851,0.0,1
21,1,19393,1767,14057,1405702,13796,1379608,845.0,0.0,1016.0,0.0,0.0,0.0,543.0,0.0,10.267230769244197,0.0,1
21,1,19393,393,11292,1129202,14771,1477104,845.0,0.0,1021.0,0.0,0.0,0.0,967.0,0.0,-3.0945009535011687,0.0,0
8,2,19790,2395,12478,1247805,13487,1348702,709.0,0.0,917.0,0.0,0.0,0.0,1029.0,0.0,11.484340576040257,0.0,1
4,5,20378,6032,11433,1143302,12264,1226402,1453.0,0.0,1610.0,0.0,0.0,0.0,383.0,0.0,-26.017837407663624,0.0,0
31,4,20304,3560,14869,1486903,14262,1426204,1528.0,0.0,1609.0,0.0,0.0,0.0,541.0,0.0,-21.180771191138465,0.0,0
8,2,20452,4553,14986,1498603,11057,1105703,1707.0,0.0,1902.0,0.0,0.0,0.0,547.0,0.0,-27.964771999025785,0.0,0
23,3,20304,4044,10397,1039707,10431,1043105,2358.0,1.0,57.0,1.0,0.0,0.0,164.0,0.0,49.83435439937949,1.0,2
17,4,19393,509,14831,1483106,10800,1080003,1516.0,0.0,1611.0,0.0,0.0,0.0,296.0,0.0,-12.50952196397331,0.0,0
23,3,20304,2988,16218,1621802,14107,1410702,1749.0,0.0,1855.0,0.0,0.0,0.0,160.0,0.0,-17.789293570174685,0.0,0
26,6,19393,3087,11618,1161802,13232,1323202,644.0,0.0,752.0,0.0,0.0,0.0,711.0,0.0,7.293187911836821,0.0,1
22,2,20409,1007,14747,1474703,12954,1295407,554.0,0.0,804.0,0.0,0.0,0.0,965.0,0.0,-13.946100298788483,0.0,0
10,4,20398,3327,11042,1104205,12478,1247805,708.0,0.0,902.0,0.0,0.0,0.0,425.0,0.0,-17.357947064067865,0.0,0
17,4,20304,3557,14457,1445702,14869,1486903,2100.0,1.0,2252.0,1.0,0.0,0.0,508.0,0.0,72.44039264845784,1.0,3
4,5,19805,344,11298,1129806,14869,1486903,2243.0,1.0,47.0,1.0,0.0,0.0,989.0,0.0,30.656119397375313,1.0,2
22,2,19805,2132,10721,1072102,12953,1295304,853.0,1.0,1031.0,1.0,0.0,0.0,184.0,0.0,99.42848599842013,1.0,3
2,3,19790,749,10397,1039707,12448,1244807,1218.0,0.0,1233.0,0.0,0.0,0.0,341.0,0.0,-26.645221034410312,0.0,0
14,1,20304,5260,14771,1477104,10561,1056103,2009.0,0.0,2113.0,0.0,0.0,0.0,238.0,0.0,14.409912147023277,0.0,1
29,2,20304,3963,14869,1486903,12280,1228002,2023.0,0.0,2118.0,0.0,0.0,0.0,188.0,0.0,4.751014618349584,0.0,1
22,2,20304,5783,11648,1164802,11292,1129202,1702.0,0.0,1920.0,0.0,0.0,0.0,752.0,0.0,-21.057794330962242,0.0,0
15,2,19393,2272,13198,1319801,14492,1449202,1601.0,0.0,1902.0,0.0,0.0,0.0,904.0,0.0,-29.75150472943789,0.0,0
18,5,19393,1397,12889,1288903,12892,1289208,1104.0,0.0,1219.0,0.0,0.0,0.0,236.0,0.0,6.695764280467537,0.0,1
14,1,20398,3793,11298,1129806,14783,1478302,1852.0,0.0,2023.0,0.0,0.0,0.0,364.0,0.0,1.8085804731427702,0.0,1
24,4,20416,161,10529,1052906,11697,1169706,1841.0,1.0,2211.0,1.0,0.0,0.0,1173.0,0.0,91.81674547626268,1.0,3
20,7,19805,573,11292,1129202,11057,1105703,537.0,0.0,1036.0,0.0,0.0,0.0,1337.0,0.0,4.707165600867558,0.0,1
21,1,19393,1105,15304,1530402,11259,1125904,1841.0,0.0,2018.0,0.0,0.0,0.0,917.0,0.0,-26.667990671965935,0.0,0
31,4,19790,2728,10397,1039707,11433,1143302,1338.0,0.0,1526.0,0.0,0.0,0.0,594.0,0.0,-13.869042215507733,0.0,0
15,2,19393,827,10140,1014005,12892,1289208,552.0,0.0,701.0,0.0,0.0,0.0,677.0,0.0,-24.78589232136916,0.0,0
22,2,20304,3206,12448,1244807,11298,1129806,1805.0,0.0,1945.0,0.0,0.0,0.0,408.0,0.0,8.839654164401708,0.0,1
18,5,19393,1950,13796,1379608,12892,1289208,938.0,0.0,1058.0,0.0,0.0,0.0,337.0,0.0,-1.9515842927598936,0.0,0
5,6,20397,5439,11057,1105703,12323,1232305,1633.0,0.0,1729.0,0.0,0.0,0.0,185.0,0.0,-15.109588881630787,0.0,0
20,7,20409,1680,11697,1169706,11278,1127805,635.0,0.0,913.0,0.0,0.0,0.0,899.0,0.0,-27.139874237128936,0.0,0
27,7,19805,952,12478,1247805,14107,1410702,1324.0,0.0,1653.0,0.0,0.0,0.0,2153.0,0.0,-16.0057955227952,0.0,0
21,1,20409,232,12954,1295407,14869,1486903,713.0,0.0,951.0,0.0,0.0,0.0,588.0,0.0,-15.366750508796382,0.0,0
10,4,19930,440,14057,1405702,12892,1289208,1816.0,0.0,2039.0,0.0,0.0,0.0,834.0,0.0,2.832278025212883,0.0,1
22,2,19977,330,13303,1330303,13930,1393007,1110.0,1.0,1322.0,1.0,0.0,0.0,1197.0,0.0,82.30597702094217,1.0,3
27,7,20304,3736,12953,1295304,13342,1334207,1941.0,0.0,2113.0,0.0,0.0,0.0,738.0,0.0,9.924573415934695,0.0,1
1,2,20398,3896,13930,1393007,13367,1336705,1627.0,0.0,1735.0,0.0,0.0,0.0,139.0,0.0,-8.750328367712282,0.0,0
3,4,20363,3418,14685,1468502,12478,1247805,1737.0,0.0,1939.0,0.0,0.0,0.0,718.0,0.0,-24.618258932776424,0.0,0
8,2,20304,7375,13487,1348702,10739,1073907,2234.0,0.0,2322.0,0.0,0.0,0.0,114.0,0.0,2.096015425034775,0.0,1
29,2,20452,3599,12266,1226603,13487,1348702,1420.0,0.0,1720.0,0.0,0.0,0.0,1034.0,0.0,4.235327187760385,0.0,1
7,1,20304,3309,14831,1483106,10800,1080003,625.0,0.0,743.0,0.0,0.0,0.0,296.0,0.0,-4.74252610937267,0.0,0
31,4,19977,2262,14771,1477104,11042,1104205,1047.0,0.0,1830.0,1.0,0.0,0.0,2161.0,0.0,96.18058671527434,1.0,3
18,5,20378,5728,11540,1154005,11298,1129806,743.0,0.0,1020.0,0.0,0.0,0.0,551.0,0.0,-7.779198163602416,0.0,0
11,5,19805,1673,14100,1410005,13204,1320402,2045.0,0.0,2311.0,0.0,0.0,0.0,861.0,0.0,-6.477022677810267,0.0,0
14,1,19790,1161,15304,1530402,10397,1039707,1047.0,0.0,1223.0,0.0,0.0,0.0,406.0,0.0,-10.760654173865266,0.0,0
12,6,19977,1844,12266,1226603,14771,1477104,2017.0,1.0,2219.0,0.0,0.0,0.0,1635.0,0.0,-28.856139296515718,0.0,0
31,4,19805,2119,10721,1072102,11278,1127805,1558.0,0.0,1748.0,0.0,0.0,0.0,399.0,0.0,-25.144885785301298,0.0,0
6,7,20452,3543,13930,1393007,14122,1412202,1805.0,0.0,2021.0,0.0,0.0,0.0,413.0,0.0,-28.58568664409696,0.0,0
27,7,19805,1918,11057,1105703,13931,1393102,915.0,0.0,1014.0,0.0,0.0,0.0,290.0,0.0,-1.361531493129882,0.0,0
15,2,20363,5376,12953,1295304,10990,1099005,2049.0,0.0,2200.0,0.0,0.0,0.0,305.0,0.0,-15.8539808515653,0.0,0
17,4,20416,410,11697,1169706,10821,1082106,709.0,0.0,944.0,0.0,0.0,0.0,925.0,0.0,-7.114318897588375,0.0,0
10,4,19393,3338,14107,1410702,13796,1379608,906.0,0.0,957.0,0.0,0.0,0.0,646.0,0.0,10.840491326674186,0.0,1
17,4,19805,576,14893,1489302,11057,1105703,2223.0,0.0,549.0,0.0,0.0,0.0,2244.0,0.0,-18.78184968830063,0.0,0
26,6,20416,469,11298,1129806,12889,1288903,1036.0,0.0,1127.0,0.0,0.0,0.0,1055.0,0.0,-11.532768463396662,0.0,0
14,1,19977,1417,11618,1161802,13204,1320402,1853.0,0.0,2145.0,0.0,0.0,0.0,937.0,0.0,3.9998012344371903,0.0,1
28,1,20409,2101,10792,1079206,12478,1247805,755.0,0.0,907.0,0.0,0.0,0.0,301.0,0.0,-19.70408255287699,0.0,0
24,4,19805,1335,12478,1247805,12889,1288903,1956.0,0.0,2245.0,0.0,0.0,0.0,2248.0,0.0,-26.535904057704315,0.0,0
11,5,20409,330,13204,1320402,13933,1393305,1251.0,0.0,1541.0,0.0,0.0,0.0,1091.0,0.0,-16.961184618880438,0.0,0
2,3,19930,838,12173,1217305,13796,1379608,1510.0,0.0,2233.0,0.0,0.0,0.0,2409.0,0.0,-22.745042073569802,0.0,0
16,3,20304,4164,10800,1080003,14869,1486903,1039.0,1.0,1331.0,1.0,0.0,0.0,574.0,0.0,112.6885558436276,1.0,3
27,7,20363,3499,13198,1319801,11193,1119302,1946.0,0.0,2213.0,0.0,0.0,0.0,539.0,0.0,6.365417080398763,0.0,1
30,3,19805,556,11298,1129806,14107,1410702,1858.0,0.0,2029.0,0.0,0.0,0.0,868.0,0.0,-1.496830957030944,0.0,0
24,4,19790,2133,10208,1020803,10397,1039707,813.0,0.0,937.0,0.0,0.0,0.0,143.0,0.0,9.215726558447297,0.0,1
6,7,20409,1011,10721,1072102,13930,1393007,1644.0,0.0,1922.0,1.0,0.0,0.0,867.0,0.0,99.5818959975079,1.0,3
17,4,20304,4134,10721,1072102,13342,1334207,724.0,0.0,927.0,0.0,0.0,0.0,860.0,0.0,-21.604347350128386,0.0,0
25,5,19393,1913,11259,1125904,10397,1039707,2024.0,0.0,2304.0,0.0,0.0,0.0,721.0,0.0,10.165154932049,0.0,1
6,7,20366,4116,11618,1161802,10785,1078502,1618.0,1.0,1752.0,1.0,0.0,0.0,266.0,0.0,72.09159315922767,1.0,3
5,6,20416,605,11433,1143302,14635,1463502,556.0,0.0,824.0,0.0,0.0,0.0,1084.0,0.0,6.334806982382814,0.0,1
4,5,19805,1398,13487,1348702,13930,1393007,1445.0,1.0,1601.0,0.0,0.0,0.0,334.0,0.0,10.324108496557196,0.0,1
15,2,19393,1030,11292,1129202,13851,1385103,1103.0,0.0,1328.0,0.0,0.0,0.0,495.0,0.0,-15.689843626266125,0.0,0
16,3,19393,206,13204,1320402,10693,1069302,825.0,0.0,919.0,0.0,0.0,0.0,616.0,0.0,-25.047663396254546,0.0,0
14,1,20398,3875,15380,1538005,13930,1393007,2032.0,1.0,2046.0,1.0,0.0,0.0,224.0,0.0,39.70525690436193,1.0,2
12,6,19790,2740,13487,1348702,10821,1082106,901.0,0.0,1231.0,0.0,0.0,0.0,936.0,0.0,-10.780149511818466,0.0,0
21,1,20397,5593,14100,1410005,13485,1348502,1416.0,1.0,1543.0,1.0,0.0,0.0,764.0,0.0,101.07353565593928,1.0,3
29,2,19790,1499,10397,1039707,14107,1410702,1459.0,0.0,1711.0,0.0,0.0,0.0,1587.0,0.0,8.732876246535454,0.0,1
17,4,19393,291,13487,1348702,13232,1323202,1109.0,0.0,1250.0,0.0,0.0,0.0,349.0,0.0,-29.68715412609642,0.0,0
17,4,20398,3866,10821,1082106,12478,1247805,1236.0,0.0,1335.0,0.0,0.0,0.0,184.0,0.0,-7.016371384009542,0.0,0
17,4,20398,3813,15295,1529502,13930,1393007,1051.0,0.0,1106.0,0.0,0.0,0.0,213.0,0.0,-11.216504858304946,0.0,0
8,2,19393,1760,10821,1082106,10994,1099402,1854.0,0.0,2030.0,0.0,0.0,0.0,472.0,0.0,-20.005148528817138,0.0,0
31,4,19977,333,11697,1169706,12266,1226603,847.0,0.0,1036.0,0.0,0.0,0.0,966.0,0.0,-24.606058469984273,0.0,0
3,4,19977,2333,11618,1161802,14492,1449202,2212.0,0.0,2353.0,1.0,0.0,0.0,416.0,0.0,51.111977825977306,1.0,2
26,6,19393,2744,11259,1125904,11278,1127805,1938.0,0.0,2301.0,0.0,0.0,0.0,1184.0,0.0,12.430936676063363,0.0,1
